12|C:\Users\trkul\Downloads\checkpoint.png|1|Tour
13|C:\Users\trkul\Downloads\checkpoint.png|2|Tour
14|C:\Users\trkul\Downloads\checkpoint.png|3|Tour
15|C:\Users\trkul\Downloads\checkpoint.png|4|Tour
16|C:\Users\trkul\Downloads\Indeks.jpg|4|Tour
17|C:\Users\trkul\Downloads\checkpoint.png|5|Tour
18|C:\Users\trkul\Downloads\Indeks.jpg|5|Tour
19|../Resources/Images/sheraton1.jpg|1|Tour
1|\Resources\Images\sheraton1.jpg|2|Accommodation
2|\Resources\Images\pupin1.png|3|Accommodation
4|\Resources\Images\horizonti1.jpg|1|Accommodation
5|\Resources\Images\horizonti2.jpg|1|Accommodation
6|\Resources\Images\pupin2.jpg|3|Accommodation
7|\Resources\Images\pupin3.jpg|3|Accommodation
8|\Resources\Images\pupin4.jpg|3|Accommodation
9|\Resources\Images\pupin5.jpg|3|Accommodation
10|\Resources\Images\habbo1.jpg|4|Accommodation
11|\Resources\Images\habbo2.jpg|4|Accommodation
